year,week,county,aqi,so2,co,o3,pm10,pm25,no2,no,nox,auri_visits,ili_visits,opna_visits,temp_c,rh_pct,pop_cnt
2024,9,新北市,41.8770152,0.810146295,0.399531835,30.71683075,19.41231782,,,,,93687,15068,4928,14.06171747,90.18236255,4047001
2024,9,新竹市,48.45508982,1.247590361,0.355240964,32.50421687,17.51204819,,,,,8649,3056,1328,14.24071856,84.0239521,457242
2024,9,新竹縣,42.99101796,0.772205438,0.304531722,32.99969789,16.77710843,,,,,14670,2755,997,13.54401198,92.33832335,594641
2024,9,桃園市,42.32135729,1.046363636,0.37921371,30.78543984,19.02419355,,,,,49276,9271,3149,13.3243513,92.10978044,2338648
2024,9,澎湖縣,44.09580838,0.621084337,0.274518072,43.28855422,18.62048193,,,,,2415,214,70,18.16766467,78.07185629,107901
2024,9,臺中市,46.18203593,1.165892421,0.35205314,28.19975816,21.29759036,,,,,68537,17779,8641,16.48179641,76.4,2860601
2024,9,臺北市,42.81950385,0.913458111,0.442380539,28.33032929,16.04840104,,,,,49845,10036,4740,13.59491018,88.19418306,2490869
2024,9,臺南市,63.37005988,1.553808948,0.379963855,28.1660628,38.23614458,,,,,35685,8655,4261,18.41736527,75.56137725,1858651
2024,9,臺東縣,29.58383234,0.768389058,0.291087613,32.48006042,9.380664653,,,,,4807,1018,336,18.79131737,81.36826347,210219
2024,9,花蓮縣,33.98802395,0.581097561,0.361212121,31.30365854,10.59638554,,,,,5553,1302,605,17.42831325,93.01807229,315374
2024,9,苗栗縣,40.9261477,1.251515152,0.319797571,30.87703252,17.46184739,,,,,14977,2010,825,14.03872255,87.86027944,532854
2024,9,連江縣,57.2754491,1.043636364,0.314638554,38.49207317,32.80722892,,,,,108,42,19,9.268862275,75.11976048,13950
2024,9,金門縣,70.16766467,1.239156627,0.42560241,33.15939394,29.93939394,,,,,2267,114,69,12.84251497,69.01197605,143601
2024,9,雲林縣,56.37125749,1.650762195,0.342549618,32.12867982,35.03177005,,,,,18802,2609,1280,17.26991018,80.23502994,658427
2024,9,高雄市,74.73975127,1.712165336,0.481123596,25.14209291,46.74170948,,,,,62246,9640,3115,20.6203865,72.19152604,2731412
2024,9,南投縣,61.28143713,1.127016129032258,0.3856595744680851,24.17096774193548,29.169014084507044,,,,,11400,2168,1018,17.991017964071855,78.54091816367266,472299
